rating_id,player_id,pac,sho,pas,dri,def,phy,overall,source,source_detail,fetched_at,gk_div,gk_han,gk_kic,gk_pos,gk_ref,gk_spd
1,1,45,35,50,45,36,65,46,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
2,2,60,40,55,54,75,75,60,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
3,3,60,40,55,54,75,74,60,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
4,4,60,55,60,64,55,64,60,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
5,5,60,55,60,64,55,65,60,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
6,6,65,63,70,86,55,65,67,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
7,7,65,60,70,70,55,62,64,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
8,8,65,60,70,74,55,64,65,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
9,9,80,80,60,75,35,63,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
10,10,65,60,70,74,55,65,65,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
11,11,65,60,70,78,55,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
12,12,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
13,13,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
14,14,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
15,15,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
16,16,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
17,17,83,80,60,79,35,65,67,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
18,18,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
19,19,83,83,60,79,35,65,68,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
20,20,83,80,60,75,35,63,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
21,21,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
22,22,83,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
23,23,83,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
24,24,45,35,50,45,38,65,46,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
25,25,60,40,55,50,75,75,59,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
26,26,60,40,55,58,75,75,60,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
27,27,60,55,60,60,55,63,59,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
28,28,60,55,60,60,55,64,59,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
29,29,65,74,76,78,55,62,68,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
30,30,65,71,70,82,55,64,68,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
31,31,65,60,70,74,55,63,64,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
32,32,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
33,33,65,74,76,78,55,64,69,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
34,34,65,63,76,78,55,63,67,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
35,35,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
36,36,83,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
37,37,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
38,38,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
39,39,83,80,60,79,35,64,67,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
40,40,83,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
41,41,83,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
42,42,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
43,43,83,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
44,44,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
45,45,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
46,46,80,80,60,75,35,65,66,espn_derived,event=401862911,2026-08-12 10:06:22,,,,,,
47,47,45,35,50,45,28,65,45,espn_derived,event=401862897,2026-08-12 10:06:49,,,,,,
48,48,60,40,55,54,75,75,60,espn_derived,event=401862897,2026-08-12 10:06:49,,,,,,
49,49,60,40,55,50,75,75,59,espn_derived,event=401862897,2026-08-12 10:06:49,,,,,,
50,50,60,55,60,64,55,62,59,espn_derived,event=401862897,2026-08-12 10:06:49,,,,,,
