team_name,league_slug,home_gf_pg,home_ga_pg,away_gf_pg,away_ga_pg,total_gf_pg,total_ga_pg,win_pct,home_games,away_games,total_games,updated_at,elo
Liverpool,uefa.champions,1.8888888888888888,0.9444444444444444,1.5555555555555556,1.8333333333333333,1.7222222222222223,0.4444444444444444,18.0,18,36,,2026-07-27 04:37:11,1500.0
AFC Bournemouth,eng.1,1.5,1.1111111111111112,1.5555555555555556,1.8333333333333333,1.5277777777777777,0.3333333333333333,18.0,18,36,,2026-07-27 04:37:11,1500.0
Aston Villa,uefa.europa,1.6111111111111112,1.1666666666666667,1.2777777777777777,1.4444444444444444,1.4444444444444444,0.5,18.0,18,36,,2026-07-27 04:37:11,1500.0
Newcastle United,uefa.champions,1.8888888888888888,1.6666666666666667,0.8888888888888888,1.3333333333333333,1.3888888888888888,0.3611111111111111,18.0,18,36,,2026-07-27 04:37:11,1500.0
Brighton & Hove Albion,eng.1,1.5555555555555556,1.0555555555555556,1.1111111111111112,1.4444444444444444,1.3333333333333333,0.3333333333333333,18.0,18,36,,2026-07-27 04:37:11,1500.0
Fulham,eng.1,1.6111111111111112,1.1111111111111112,0.9444444444444444,1.7222222222222223,1.2777777777777777,0.3888888888888889,18.0,18,36,,2026-07-27 04:37:11,1500.0
Sunderland,eng.1,1.3888888888888888,0.8333333333333334,0.8888888888888888,1.5555555555555556,1.1388888888888888,0.3611111111111111,18.0,18,36,,2026-07-27 04:37:11,1500.0
West Ham United,eng.2,1.4444444444444444,1.5555555555555556,0.8888888888888888,1.9444444444444444,1.1666666666666667,0.25,18.0,18,36,,2026-07-27 04:37:11,1500.0
Tottenham Hotspur,uefa.champions,1.2222222222222223,1.5555555555555556,1.4444444444444444,1.2777777777777777,1.3333333333333333,0.2777777777777778,18.0,18,36,,2026-07-27 04:37:11,1500.0
Burnley,eng.2,0.9444444444444444,1.5555555555555556,1.0555555555555556,2.3333333333333335,1.0,0.1111111111111111,18.0,18,36,,2026-07-27 04:37:11,1500.0
Wolverhampton Wanderers,eng.2,1.0555555555555556,1.8333333333333333,0.4444444444444444,1.8888888888888888,0.75,0.08333333333333333,18.0,18,36,,2026-07-27 04:37:11,1500.0
Manchester City,uefa.champions,2.388888888888889,0.6666666666666666,1.6666666666666667,1.1111111111111112,2.0277777777777777,0.6111111111111112,18.0,18,36,,2026-07-27 04:37:11,1500.0
Chelsea,uefa.champions,1.3888888888888888,1.2222222222222223,1.6111111111111112,1.5,1.5,0.3611111111111111,18.0,18,36,,2026-07-27 04:37:11,1500.0
Crystal Palace,uefa.europa.conf,1.0,1.2222222222222223,1.1666666666666667,1.5,1.0833333333333333,0.3055555555555556,18.0,18,36,,2026-07-27 04:37:11,1500.0
Manchester United,eng.1,2.0,1.2222222222222223,1.5555555555555556,1.3333333333333333,1.7777777777777777,0.5277777777777778,18.0,18,36,,2026-07-27 04:37:11,1500.0
Arsenal,uefa.champions,2.111111111111111,0.6111111111111112,1.6666666666666667,0.8888888888888888,1.8888888888888888,0.6944444444444444,18.0,18,36,,2026-07-27 04:37:11,1500.0
Leeds United,eng.1,1.4444444444444444,1.1111111111111112,1.0555555555555556,1.7777777777777777,1.25,0.2777777777777778,18.0,18,36,,2026-07-27 04:37:11,1500.0
Everton,eng.1,1.2777777777777777,1.5,1.0555555555555556,1.2777777777777777,1.1666666666666667,0.3055555555555556,18.0,18,36,,2026-07-27 04:37:11,1500.0
Brentford,eng.1,1.8333333333333333,1.0555555555555556,1.1666666666666667,1.5555555555555556,1.5,0.3888888888888889,18.0,18,36,,2026-07-27 04:37:11,1500.0
Athletic Club,uefa.champions,1.2666666666666666,1.2666666666666666,0.8666666666666667,1.9333333333333333,1.0666666666666667,0.3,15.0,15,30,,2026-07-27 04:37:11,1500.0
Sevilla,esp.1,1.1333333333333333,1.4666666666666666,1.3333333333333333,1.9333333333333333,1.2333333333333334,0.3,15.0,15,30,,2026-07-27 04:37:11,1500.0
Real Madrid,uefa.champions,2.533333333333333,0.7333333333333333,1.5333333333333334,0.8,2.033333333333333,0.7,15.0,15,30,,2026-07-27 04:37:11,1500.0
Osasuna,esp.1,1.4666666666666666,1.1333333333333333,0.6,1.4666666666666666,1.0333333333333334,0.26666666666666666,15.0,15,30,,2026-07-27 04:37:11,1500.0
Valencia,esp.1,1.4,0.9333333333333333,1.1333333333333333,1.6666666666666667,1.2666666666666666,0.4,15.0,15,30,,2026-07-27 04:37:11,1500.0
Villarreal,uefa.champions,2.4,1.0666666666666667,1.4,1.4666666666666666,1.9,0.6,15.0,15,30,,2026-07-27 04:37:11,1500.0
Girona,esp.2,1.0666666666666667,1.2666666666666666,1.0,1.5333333333333334,1.0333333333333334,0.26666666666666666,15.0,15,30,,2026-07-27 04:37:11,1500.0
Getafe,esp.1,1.0,0.9333333333333333,0.6666666666666666,1.4,0.8333333333333334,0.4,15.0,15,30,,2026-07-27 04:37:11,1500.0
Barcelona,uefa.champions,3.1333333333333333,0.5333333333333333,1.9333333333333333,1.4,2.533333333333333,0.8,15.0,15,30,,2026-07-27 04:37:11,1500.0
Rayo Vallecano,uefa.europa.conf,1.0666666666666667,0.9333333333333333,0.8666666666666667,1.4666666666666666,0.9666666666666667,0.26666666666666666,15.0,15,30,,2026-07-27 04:37:11,1500.0
Mallorca,esp.2,1.6666666666666667,1.2666666666666666,1.0,1.9333333333333333,1.3333333333333333,0.3,15.0,15,30,,2026-07-27 04:37:11,1500.0
Real Sociedad,esp.1,1.8,1.5333333333333334,1.2666666666666666,1.6,1.5333333333333334,0.3333333333333333,15.0,15,30,,2026-07-27 04:37:11,1500.0
Elche,esp.1,1.5333333333333334,1.0,0.9333333333333333,2.0,1.2333333333333334,0.2,15.0,15,30,,2026-07-27 04:37:11,1500.0
Real Betis,uefa.europa,1.9333333333333333,1.0666666666666667,1.4,1.6666666666666667,1.6666666666666667,0.4,15.0,15,30,,2026-07-27 04:37:11,1500.0
Levante,esp.1,1.2666666666666666,1.6,0.9333333333333333,1.7333333333333334,1.1,0.23333333333333334,15.0,15,30,,2026-07-27 04:37:11,1500.0
Espanyol,esp.1,1.0,1.2,1.0666666666666667,1.6666666666666667,1.0333333333333334,0.3,15.0,15,30,,2026-07-27 04:37:11,1500.0
Genoa,ita.1,1.2352941176470589,1.2941176470588236,1.0588235294117647,1.2941176470588236,1.1470588235294117,0.29411764705882354,17.0,17,34,,2026-07-27 04:37:11,1500.0
Lecce,ita.1,0.7647058823529411,1.1176470588235294,0.8235294117647058,1.2941176470588236,0.7941176470588235,0.29411764705882354,17.0,17,34,,2026-07-27 04:37:11,1500.0
Sassuolo,ita.1,1.3529411764705883,1.1764705882352942,1.1764705882352942,1.1764705882352942,1.2647058823529411,0.38235294117647056,17.0,17,34,,2026-07-27 04:37:11,1500.0
Napoli,uefa.champions,1.7647058823529411,1.0,1.3529411764705883,0.9411764705882353,1.5588235294117647,0.6470588235294118,17.0,17,34,,2026-07-27 04:37:11,1500.0
AC Milan,ita.1,1.3529411764705883,1.1764705882352942,1.411764705882353,0.7647058823529411,1.3823529411764706,0.5,17.0,17,34,,2026-07-27 04:37:11,1500.0
Cremonese,ita.2,1.0,1.3529411764705883,0.7058823529411765,1.3529411764705883,0.8529411764705882,0.23529411764705882,17.0,17,34,,2026-07-27 04:37:11,1500.0
AS Roma,uefa.europa,1.8823529411764706,0.5294117647058824,1.3529411764705883,0.8235294117647058,1.6176470588235294,0.6470588235294118,17.0,17,34,,2026-07-27 04:37:11,1500.0
Bologna,uefa.europa,0.8823529411764706,1.1764705882352942,1.6470588235294117,1.1176470588235294,1.2647058823529411,0.4411764705882353,17.0,17,34,,2026-07-27 04:37:11,1500.0
Cagliari,ita.1,1.2352941176470589,1.1176470588235294,1.0588235294117647,1.588235294117647,1.1470588235294117,0.3235294117647059,17.0,17,34,,2026-07-27 04:37:11,1500.0
Fiorentina,uefa.europa.conf,1.1176470588235294,1.0588235294117647,1.0588235294117647,1.4705882352941178,1.088235294117647,0.23529411764705882,17.0,17,34,,2026-07-27 04:37:11,1500.0
Atalanta,uefa.champions,1.411764705882353,0.7647058823529411,1.4705882352941178,1.1764705882352942,1.4411764705882353,0.4411764705882353,17.0,17,34,,2026-07-27 04:37:11,1500.0
Pisa,ita.2,0.5294117647058824,1.2352941176470589,0.8823529411764706,2.0,0.7058823529411765,0.058823529411764705,17.0,17,34,,2026-07-27 04:37:11,1500.0
Juventus,uefa.champions,1.8235294117647058,0.6470588235294118,1.411764705882353,0.7647058823529411,1.6176470588235294,0.5294117647058824,17.0,17,34,,2026-07-27 04:37:11,1500.0
Parma,ita.1,0.9411764705882353,1.3529411764705883,0.7058823529411765,1.0588235294117647,0.8235294117647058,0.3235294117647059,17.0,17,34,,2026-07-27 04:37:11,1500.0
Udinese,ita.1,1.0588235294117647,1.1764705882352942,1.4705882352941178,1.4705882352941178,1.2647058823529411,0.38235294117647056,17.0,17,34,,2026-07-27 04:37:11,1500.0
Hellas Verona,ita.2,0.6470588235294118,1.4705882352941178,0.6470588235294118,1.7058823529411764,0.6470588235294118,0.08823529411764706,17.0,17,34,,2026-07-27 04:37:11,1500.0
Torino,ita.1,1.411764705882353,1.2941176470588236,1.0,1.3529411764705883,1.2058823529411764,0.35294117647058826,17.0,17,34,,2026-07-27 04:37:11,1500.0
Lazio,ita.1,1.588235294117647,1.1176470588235294,0.8235294117647058,0.6470588235294118,1.2058823529411764,0.4117647058823529,17.0,17,34,,2026-07-27 04:37:11,1500.0
Bayern Munich,uefa.champions,3.9166666666666665,1.0833333333333333,3.0,1.0833333333333333,3.4583333333333335,0.8333333333333334,12.0,12,24,,2026-07-27 04:37:11,1500.0
RB Leipzig,ger.1,2.1666666666666665,1.4166666666666667,1.4166666666666667,1.75,1.7916666666666667,0.5,12.0,12,24,,2026-07-27 04:37:11,1500.0
Eintracht Frankfurt,uefa.champions,1.9090909090909092,1.8181818181818181,2.0,2.727272727272727,1.9545454545454546,0.2727272727272727,11.0,11,22,,2026-07-27 04:37:11,1500.0
Werder Bremen,ger.1,1.0,2.25,1.0,1.5,1.0,0.20833333333333334,12.0,12,24,,2026-07-27 04:37:11,1500.0
SC Freiburg,uefa.europa,1.8181818181818181,1.5454545454545454,1.0,2.0,1.4090909090909092,0.2727272727272727,11.0,11,22,,2026-07-27 04:37:11,1500.0
FC Augsburg,ger.1,1.4545454545454546,1.9090909090909092,1.4545454545454546,2.0,1.4545454545454546,0.36363636363636365,11.0,11,22,,2026-07-27 04:37:11,1500.0
1. FC Union Berlin,ger.1,1.6363636363636365,1.3636363636363635,0.8181818181818182,2.0,1.2272727272727273,0.3181818181818182,11.0,11,22,,2026-07-27 04:37:11,1500.0
VfB Stuttgart,uefa.europa,1.6363636363636365,1.2727272727272727,2.6363636363636362,1.8181818181818181,2.1363636363636362,0.5454545454545454,11.0,11,22,,2026-07-27 04:37:11,1500.0
