stat_id,fixture_id,player_id,team_id,minutes_played,goals,assists,shots,shots_on_target,key_passes,tackles,interceptions,dribbles_completed,pass_accuracy,rating,source,fetched_at
47,401862897,47,160,0,0,0,0,0,0,0,0,0,,45.0,espn_summary,2026-08-12 10:06:49
48,401862897,48,160,0,0,0,1,0,0,0,0,0,,60.0,espn_summary,2026-08-12 10:06:49
49,401862897,49,160,0,0,0,0,0,0,0,0,0,,59.0,espn_summary,2026-08-12 10:06:49
50,401862897,50,160,0,0,0,0,0,0,0,0,0,,59.0,espn_summary,2026-08-12 10:06:49
51,401862897,51,160,0,0,0,3,1,0,0,0,0,,60.0,espn_summary,2026-08-12 10:06:49
52,401862897,52,160,0,0,0,4,0,0,0,0,0,,65.0,espn_summary,2026-08-12 10:06:49
53,401862897,53,160,0,0,0,3,1,0,0,0,0,,65.0,espn_summary,2026-08-12 10:06:49
54,401862897,54,160,0,0,0,1,0,0,0,0,0,,69.0,espn_summary,2026-08-12 10:06:49
55,401862897,55,160,0,1,0,4,1,0,0,0,0,,68.0,espn_summary,2026-08-12 10:06:49
56,401862897,56,160,0,0,0,1,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
57,401862897,57,160,0,0,0,3,1,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
58,401862897,58,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
59,401862897,59,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
60,401862897,60,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
61,401862897,61,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
62,401862897,62,160,0,0,0,0,0,0,0,0,0,,67.0,espn_summary,2026-08-12 10:06:49
63,401862897,63,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
64,401862897,64,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
65,401862897,65,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
66,401862897,66,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
67,401862897,67,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
68,401862897,68,160,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
69,401862897,69,160,0,0,0,1,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
70,401862897,70,359,0,0,0,0,0,0,0,0,0,,47.0,espn_summary,2026-08-12 10:06:49
71,401862897,71,359,0,0,0,0,0,0,0,0,0,,59.0,espn_summary,2026-08-12 10:06:49
72,401862897,72,359,0,0,0,0,0,0,0,0,0,,60.0,espn_summary,2026-08-12 10:06:49
73,401862897,73,359,0,0,0,0,0,0,0,0,0,,59.0,espn_summary,2026-08-12 10:06:49
74,401862897,74,359,0,0,0,0,0,0,0,0,0,,59.0,espn_summary,2026-08-12 10:06:49
75,401862897,75,359,0,0,0,1,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
76,401862897,76,359,0,0,0,0,0,0,0,0,0,,64.0,espn_summary,2026-08-12 10:06:49
77,401862897,77,359,0,0,0,0,0,0,0,0,0,,65.0,espn_summary,2026-08-12 10:06:49
78,401862897,78,359,0,1,0,3,1,0,0,0,0,,68.0,espn_summary,2026-08-12 10:06:49
79,401862897,79,359,0,0,1,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
80,401862897,80,359,0,0,0,0,0,0,0,0,0,,64.0,espn_summary,2026-08-12 10:06:49
81,401862897,81,359,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
82,401862897,82,359,0,0,0,1,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
83,401862897,83,359,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
84,401862897,84,359,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
85,401862897,85,359,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
86,401862897,86,359,0,0,0,0,0,0,0,0,0,,68.0,espn_summary,2026-08-12 10:06:49
87,401862897,87,359,0,0,0,1,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
88,401862897,88,359,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
89,401862897,89,359,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
90,401862897,90,359,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
91,401862897,91,359,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
92,401862897,92,359,0,0,0,1,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
93,401862911,1,126,0,0,0,0,0,0,0,0,0,,46.0,espn_summary,2026-08-12 10:06:49
94,401862911,2,126,0,0,0,0,0,0,0,0,0,,60.0,espn_summary,2026-08-12 10:06:49
95,401862911,3,126,0,0,0,0,0,0,0,0,0,,60.0,espn_summary,2026-08-12 10:06:49
96,401862911,4,126,0,0,0,0,0,0,0,0,0,,60.0,espn_summary,2026-08-12 10:06:49
97,401862911,5,126,0,0,0,0,0,0,0,0,0,,60.0,espn_summary,2026-08-12 10:06:49
98,401862911,6,126,0,0,0,1,1,0,0,0,0,,67.0,espn_summary,2026-08-12 10:06:49
99,401862911,7,126,0,0,0,1,0,0,0,0,0,,64.0,espn_summary,2026-08-12 10:06:49
100,401862911,8,126,0,0,0,0,0,0,0,0,0,,65.0,espn_summary,2026-08-12 10:06:49
101,401862911,9,126,0,0,0,1,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
102,401862911,10,126,0,0,0,0,0,0,0,0,0,,65.0,espn_summary,2026-08-12 10:06:49
103,401862911,11,126,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
104,401862911,12,126,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
105,401862911,13,126,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
106,401862911,14,126,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
107,401862911,15,126,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
108,401862911,16,126,0,0,0,0,0,0,0,0,0,,66.0,espn_summary,2026-08-12 10:06:49
109,401862911,17,126,0,0,0,0,0,0,0,0,0,,67.0,espn_summary,2026-08-12 10:06:49
